gradrat,lenroll,rmbrd,private,stufac,csat,act
33,6.81014245,.,0.0,18.2,.,.
33,6.887552572,.,0.0,14.4,.,.
33,6.814542897,.,0.0,16.7,.,.
64,5.476463552,3.85,1.0,11.8,950,22
61,5.472270674,.,1.0,10.4,867,.
34,5.902633333,3.782,1.0,39.8,863,21
62,5.616771098,2.984,1.0,11.5,.,.
67,8.678291112,.,0.0,18.2,998,24
.,.,.,0.0,.,890,22
97,5.942799375,4.206,1.0,13.6,1210,30
48,4.442651257,.,1.0,12.5,860,21
67,5.416100402,.,1.0,14.8,917,22
.,5.170483995,.,1.0,10.6,.,.
75,4.477336815,4.13,1.0,10.2,814,20
98,5.973809612,4.514,1.0,9.9,1026,25
.,3.583518939,.,1.0,4.9,.,.
98,6.079933195,4,1.0,14.2,1092,25
65,5.620400866,.,1.0,12.8,911,21
97,7.552762084,.,1.0,13.1,1220,.
95,6.253828812,3.26,1.0,14.2,.,.
72,5.545177445,4.195,1.0,9.9,.,.
40,8.054204897,.,0.0,16.6,825,20
65,5.327876169,4.1,1.0,11,.,23
48,5.298317367,3.363,1.0,11.6,.,23
56,4.804021045,3.58,1.0,8.8,.,22
44,6.692083743,.,0.0,18.1,.,.
49,5.147494477,.,1.0,25,.,20
58,6.70073111,.,0.0,23.2,.,21
50,6.748759548,3.144,0.0,19.3,.,20
54,7.9490915,.,0.0,18.5,.,.
68,4.997212274,3.25,1.0,12.4,.,21
48,4.532599493,3.75,1.0,9.8,.,22
46,5.463831805,3.245,1.0,14.5,.,.
52,4.317488114,.,1.0,11.8,.,21
53,4.189654742,.,1.0,8.2,.,.
36,4.844187087,.,1.0,16.1,843,22
53,4.691347882,3.41,1.0,10,.,22
57,8.210939733,.,0.0,13.7,.,23
53,6.327936784,3.21,0.0,13.8,.,.
32,6.797940413,.,0.0,20.4,.,21
49,5.416100402,.,1.0,15.4,.,22
58,5.402677382,3.85,1.0,14.1,.,.
31,5.666426688,2.48,1.0,19.4,.,.
.,5.634789603,2.764,1.0,12.1,989,23
84,5.730099783,2.95,1.0,13.1,989,23
57,6.120297419,2.835,1.0,13.2,979,22
56,4.59511985,.,1.0,10.1,.,.
49,5.697093487,3.07,1.0,17.7,.,.
89,4.574710979,.,1.0,10.6,.,20
74,5.66296048,4.27,1.0,11.4,1109,27
63,5.986452005,.,1.0,13,890,21
39,7.801800402,3.196,0.0,19.8,.,19
55,5.655991811,3.95,1.0,13.3,.,22
19,6.049733455,2.682,0.0,15,.,.
62,5.164785974,4.15,1.0,11.3,860,22
.,5.945420609,3.55,1.0,19.3,.,18
52,7.170119543,.,0.0,19.9,.,20
52,7.081708586,3.11,0.0,20.2,.,22
61,5.129898715,.,1.0,13.4,.,.
70,5.497168225,4.45,1.0,12.1,1096,26
64,5.176149733,.,1.0,14.1,830,20
52,7.891704659,.,0.0,12.2,.,25
31,7.508238775,.,0.0,11.1,.,21
66,5.384495063,3.892,1.0,10.5,964,23
45,7.641084249,3.149,0.0,19.1,.,.
52,7.427738841,.,0.0,17.7,.,.
66,5.347107531,3.49,1.0,11.3,1060,25
61,6.478509642,.,1.0,14.1,.,20
36,6.995766156,.,0.0,21.8,.,19
58,7.549609165,1.306,0.0,24.6,.,.
59,5.356586275,.,1.0,10.5,.,.
45,7.329749689,2.325,0.0,20,.,22
37,8.032360148,2.98,0.0,15.9,997,23
35,6.214608098,.,0.0,18.1,.,.
19,7.313886832,3.123,0.0,17.9,947,21
53,6.577861358,5.87,1.0,11.7,1050,25
34,7.329749689,2.31,0.0,21.1,.,19
21,7.517520851,.,0.0,20.6,.,20
33,7.192934221,2.216,0.0,29.5,.,20
73,5.141663557,.,1.0,16.1,.,.
29,7.739359203,2.23,0.0,24.3,.,19
35,6.194405391,.,0.0,19.6,.,17
74,7.109062136,5.95,1.0,9.1,.,.
30,7.887584032,.,0.0,22.7,.,19
49,6.543911846,.,1.0,14.4,890,21
33,7.444833274,2.716,0.0,15.9,.,17
69,5.393627546,.,1.0,14.7,.,.
100,6.035481433,5.3,1.0,8.4,1324,25
82,4.406719247,.,1.0,11.7,.,.
88,6.196444128,.,1.0,13.8,.,.
80,6.242223266,6.2,1.0,16.8,1000,.
94,6.008813185,6.985,1.0,16.8,.,.
82,6.461468176,5.51,1.0,17.5,.,.
38,6.568077911,.,1.0,10.2,.,.
90,7.675081858,6.96,1.0,16.6,.,.
72,8.245384468,6.81,1.0,11.9,1150,26
46,5.017279837,6.25,1.0,10.2,.,.
84,6.606650186,6.75,1.0,9.8,.,.
79,6.124683391,4.2,1.0,10.5,.,.
86,4.828313737,.,1.0,11.3,890,.
95,6.490723535,.,1.0,11.3,1200,.
58,5.645446898,5.45,1.0,8.7,810,.
70,5.298317367,.,1.0,17.3,980,.
62,6.198478717,7.782,1.0,18,1020,.
.,5.765191103,.,1.0,12.3,782,.
66,5.641907071,4.07,1.0,14.2,992,.
100,7.381501895,6.41,1.0,9.9,.,.
.,5.141663557,.,1.0,9.1,800,.
58,4.406719247,5.3,1.0,27.8,846,.
53,6.996681488,4.164,0.0,16.1,951,.
94,6.982862752,5.975,1.0,10.1,1381,31
51,6.96979067,3.991,0.0,17.1,923,.
57,6.357842267,4.03,0.0,14.7,891,.
.,6.37331979,3.366,0.0,21.2,911,.
57,5.480638923,4.33,0.0,14.2,897,.
45,7.195937227,3.514,0.0,21,802,.
65,6.715383386,3.788,0.0,15.7,880,.
40,6.29710932,3.9,0.0,21,832,.
84,6.265301213,5.7,1.0,9,1120,27
77,6.678342115,.,1.0,13.5,.,.
.,5.384495063,5.624,1.0,27.7,814,.
46,7.830822995,7.425,1.0,12.9,998,23
67,4.828313737,6.48,1.0,8.9,764,20
84,4.96284463,.,1.0,10.3,881,.
79,5.686975356,.,1.0,8.9,940,24
90,6.448889394,.,1.0,10.3,.,.
56,6.913737351,.,0.0,15,905,.
76,6.251903883,4.3,1.0,12.8,900,.
97,6.371611847,.,1.0,13,1010,.
60,5.874930731,.,1.0,13.3,854,.
92,7.094234846,5.968,1.0,10.3,.,.
68,8.246958033,3.897,0.0,16.7,.,.
41,6.684611728,.,0.0,14.5,895,.
91,6.361302478,5.995,1.0,10.6,1230,.
59,6.013715156,.,1.0,15.4,837,.
71,6.033086222,5.97,1.0,13.2,1080,24
74,5.081404365,.,1.0,9.6,853,.
99,6.265301213,5.79,1.0,9,.,.
82,6.525029658,5.37,1.0,15.2,1200,28
62,5.733341277,5.475,1.0,11.4,1111,.
84,4.882801923,5.62,1.0,8.2,1171,.
64,6.11368218,.,1.0,15.4,850,.
52,3.555348062,.,1.0,12.1,880,.
17,6.008813185,4.075,0.0,22,741,.
75,5.176149733,.,1.0,11.5,970,.
63,4.615120517,3.45,1.0,13.9,.,.
.,5.942799375,.,0.0,16.3,763,18
54,6.814542897,4.39,0.0,17.8,902,.
77,5.513428746,6.174,1.0,9.2,1111,.
72,5.170483995,.,1.0,14.4,994,24
90,6.814542897,6.74,1.0,3.3,1292,30
80,6.603943825,.,1.0,14.7,1070,.
29,7.213768308,.,0.0,18.2,871,.
80,5.793013608,6.2,1.0,12.8,970,.
56,6.601230119,4.69,0.0,17.9,1045,22
